,T_coeff,alpha,attempts,course_id,cumgame_coeff,dirvar_coeff,intercept,l1,mse,n_iter,n_values,player,precip_coeff,prediction_score,removed_corr,wgust_coeff,wspd_coeff,wx_impact
1182,0.0,0.0,0.0,0,0.0,0.0,55.0,0.0,28.547822339223522,0.0,1,Kris Mickelson,0.0,0.0,0.0,0.0,0.0,0.0
1183,0.0,0.0,0.0,1,0.0,0.0,55.0,0.0,37.30478395061729,0.0,0,Kris Mickelson,0.0,0.0,0.0,0.0,0.0,0.0
1184,0.0,0.0,0.0,2,0.0,0.0,55.0,0.0,37.30478395061729,0.0,0,Kris Mickelson,0.0,0.0,0.0,0.0,0.0,0.0
1185,0.0,0.0,0.0,0,0.0,0.0,62.0,0.0,28.547822339223522,0.0,1,Dimitri Kononov,0.0,0.0,0.0,0.0,0.0,0.0
1186,0.0,0.0,0.0,1,0.0,0.0,62.0,0.0,37.30478395061729,0.0,0,Dimitri Kononov,0.0,0.0,0.0,0.0,0.0,0.0
1187,0.0,0.0,0.0,2,0.0,0.0,62.0,0.0,37.30478395061729,0.0,0,Dimitri Kononov,0.0,0.0,0.0,0.0,0.0,0.0
1188,0.0,0.0,0.0,0,0.0,0.0,97.0,0.0,28.547822339223522,0.0,1,Liz Vance,0.0,0.0,0.0,0.0,0.0,0.0
1189,0.0,0.0,0.0,1,0.0,0.0,97.0,0.0,37.30478395061729,0.0,0,Liz Vance,0.0,0.0,0.0,0.0,0.0,0.0
1190,0.0,0.0,0.0,2,0.0,0.0,97.0,0.0,37.30478395061729,0.0,0,Liz Vance,0.0,0.0,0.0,0.0,0.0,0.0
1191,0.18637509477130831,1.7910204081632655,5.0,0,-0.0,-6.324187037874545e-05,51.405460518643636,0.2,6.900954928985982,6.0,9,Mike Mardigras,71.10610533786925,0.3313668071197794,0.0,0.08186149171240027,-0.12241183404544956,24.47603464472518
1192,0.0,0.0,0.0,1,0.0,0.0,62.0,0.0,10.444444444444446,0.0,1,Mike Mardigras,0.0,0.0,0.0,0.0,0.0,0.0
1193,0.0,0.0,0.0,2,0.0,0.0,62.0,0.0,10.444444444444446,0.0,0,Mike Mardigras,0.0,0.0,0.0,0.0,0.0,0.0
1194,0.0,0.0,0.0,0,0.0,0.0,61.0,0.0,50.00000000000001,0.0,2,Roji Behr,0.0,0.0,0.0,0.0,0.0,0.0
1195,0.0,0.0,0.0,1,0.0,0.0,61.0,0.0,50.00000000000001,0.0,0,Roji Behr,0.0,0.0,0.0,0.0,0.0,0.0
1196,0.0,0.0,0.0,2,0.0,0.0,61.0,0.0,50.00000000000001,0.0,0,Roji Behr,0.0,0.0,0.0,0.0,0.0,0.0
1197,0.0,0.0,0.0,0,0.0,0.0,53.0,0.0,28.547822339223522,0.0,1,Ryan Nixon,0.0,0.0,0.0,0.0,0.0,0.0
1198,0.0,0.0,0.0,1,0.0,0.0,53.0,0.0,37.30478395061729,0.0,0,Ryan Nixon,0.0,0.0,0.0,0.0,0.0,0.0
1199,0.0,0.0,0.0,2,0.0,0.0,53.0,0.0,37.30478395061729,0.0,0,Ryan Nixon,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0,0.0,0.0,58.0,0.0,28.547822339223522,0.0,1,Shea Grabost,0.0,0.0,0.0,0.0,0.0,0.0
1201,0.0,0.0,0.0,1,0.0,0.0,58.0,0.0,37.30478395061729,0.0,0,Shea Grabost,0.0,0.0,0.0,0.0,0.0,0.0
1202,0.0,0.0,0.0,2,0.0,0.0,58.0,0.0,37.30478395061729,0.0,0,Shea Grabost,0.0,0.0,0.0,0.0,0.0,0.0
1203,0.0,0.0,0.0,0,0.0,0.0,78.0,0.0,37.30478395061729,0.0,0,Denise Schreiner,0.0,0.0,0.0,0.0,0.0,0.0
1204,0.0,0.0,0.0,1,0.0,0.0,78.0,0.0,37.30478395061729,0.0,0,Denise Schreiner,0.0,0.0,0.0,0.0,0.0,0.0
1205,0.0,0.0,0.0,2,0.0,0.0,78.0,0.0,33.77324263038549,0.0,1,Denise Schreiner,0.0,0.0,0.0,0.0,0.0,0.0
1206,0.0,0.0,0.0,0,0.0,0.0,63.0,0.0,37.30478395061729,0.0,0,Matt Schreiner,0.0,0.0,0.0,0.0,0.0,0.0
1207,0.0,0.0,0.0,1,0.0,0.0,63.0,0.0,37.30478395061729,0.0,0,Matt Schreiner,0.0,0.0,0.0,0.0,0.0,0.0
1208,0.0,0.0,0.0,2,0.0,0.0,63.0,0.0,33.77324263038549,0.0,1,Matt Schreiner,0.0,0.0,0.0,0.0,0.0,0.0
1209,0.0,0.0,0.0,0,0.0,0.0,65.5,0.0,1.1112220782958926,0.0,2,Bert Williams,0.0,0.0,0.0,0.0,0.0,0.0
1210,0.0,0.0,0.0,1,0.0,0.0,65.5,0.0,1.1112220782958926,0.0,0,Bert Williams,0.0,0.0,0.0,0.0,0.0,0.0
1211,0.0,0.0,0.0,2,0.0,0.0,65.5,0.0,1.1112220782958926,0.0,0,Bert Williams,0.0,0.0,0.0,0.0,0.0,0.0
1212,0.0,0.0,0.0,0,0.0,0.0,65.0,0.0,28.547822339223522,0.0,1,Daniel Kimble,0.0,0.0,0.0,0.0,0.0,0.0
1213,0.0,0.0,0.0,1,0.0,0.0,65.0,0.0,37.30478395061729,0.0,0,Daniel Kimble,0.0,0.0,0.0,0.0,0.0,0.0
1214,0.0,0.0,0.0,2,0.0,0.0,65.0,0.0,37.30478395061729,0.0,0,Daniel Kimble,0.0,0.0,0.0,0.0,0.0,0.0
1215,0.0,0.0,0.0,0,0.0,0.0,75.0,0.0,28.547822339223522,0.0,1,James Juarez,0.0,0.0,0.0,0.0,0.0,0.0
1216,0.0,0.0,0.0,1,0.0,0.0,75.0,0.0,37.30478395061729,0.0,0,James Juarez,0.0,0.0,0.0,0.0,0.0,0.0
1217,0.0,0.0,0.0,2,0.0,0.0,75.0,0.0,37.30478395061729,0.0,0,James Juarez,0.0,0.0,0.0,0.0,0.0,0.0
1218,0.0,0.0,0.0,0,0.0,0.0,59.0,0.0,28.547822339223522,0.0,1,Joe Martinez,0.0,0.0,0.0,0.0,0.0,0.0
1219,0.0,0.0,0.0,1,0.0,0.0,59.0,0.0,37.30478395061729,0.0,0,Joe Martinez,0.0,0.0,0.0,0.0,0.0,0.0
1220,0.0,0.0,0.0,2,0.0,0.0,59.0,0.0,37.30478395061729,0.0,0,Joe Martinez,0.0,0.0,0.0,0.0,0.0,0.0
1221,0.0,0.0,0.0,0,0.0,0.0,61.0,0.0,28.547822339223522,0.0,1,Joe canose,0.0,0.0,0.0,0.0,0.0,0.0
1222,0.0,0.0,0.0,1,0.0,0.0,61.0,0.0,37.30478395061729,0.0,0,Joe canose,0.0,0.0,0.0,0.0,0.0,0.0
1223,0.0,0.0,0.0,2,0.0,0.0,61.0,0.0,37.30478395061729,0.0,0,Joe canose,0.0,0.0,0.0,0.0,0.0,0.0
1224,0.0,0.0,0.0,0,0.0,0.0,61.5,0.0,29.250000000000004,0.0,4,Pento Malekzadeh,0.0,0.0,0.0,0.0,0.0,0.0
1225,0.0,0.0,0.0,1,0.0,0.0,61.5,0.0,39.0,0.0,0,Pento Malekzadeh,0.0,0.0,0.0,0.0,0.0,0.0
1226,0.0,0.0,0.0,2,0.0,0.0,61.5,0.0,39.0,0.0,0,Pento Malekzadeh,0.0,0.0,0.0,0.0,0.0,0.0
1227,0.0,0.0,0.0,0,0.0,0.0,61.666666666666664,0.0,6.333333333333333,0.0,3,Tom Murtiashaw,0.0,0.0,0.0,0.0,0.0,0.0
1228,0.0,0.0,0.0,1,0.0,0.0,61.666666666666664,0.0,6.333333333333333,0.0,0,Tom Murtiashaw,0.0,0.0,0.0,0.0,0.0,0.0
1229,0.0,0.0,0.0,2,0.0,0.0,61.666666666666664,0.0,6.333333333333333,0.0,0,Tom Murtiashaw,0.0,0.0,0.0,0.0,0.0,0.0
1230,0.0,0.0,0.0,0,0.0,0.0,51.0,0.0,37.30478395061729,0.0,0,Daniel Murrieta,0.0,0.0,0.0,0.0,0.0,0.0
1231,0.0,0.0,0.0,1,0.0,0.0,51.0,0.0,37.30478395061729,0.0,0,Daniel Murrieta,0.0,0.0,0.0,0.0,0.0,0.0
1232,0.0,0.0,0.0,2,0.0,0.0,51.0,0.0,33.77324263038549,0.0,1,Daniel Murrieta,0.0,0.0,0.0,0.0,0.0,0.0
1233,0.0,0.0,0.0,0,0.0,0.0,49.0,0.0,37.30478395061729,0.0,0,Kenny Glassman,0.0,0.0,0.0,0.0,0.0,0.0
1234,0.0,0.0,0.0,1,0.0,0.0,49.0,0.0,37.30478395061729,0.0,0,Kenny Glassman,0.0,0.0,0.0,0.0,0.0,0.0
1235,0.0,0.0,0.0,2,0.0,0.0,49.0,0.0,33.77324263038549,0.0,1,Kenny Glassman,0.0,0.0,0.0,0.0,0.0,0.0
1236,0.0,0.0,0.0,0,0.0,0.0,57.0,0.0,37.30478395061729,0.0,0,Kevin Parkhurst,0.0,0.0,0.0,0.0,0.0,0.0
1237,0.0,0.0,0.0,1,0.0,0.0,57.0,0.0,37.30478395061729,0.0,0,Kevin Parkhurst,0.0,0.0,0.0,0.0,0.0,0.0
1238,0.0,0.0,0.0,2,0.0,0.0,57.0,0.0,33.77324263038549,0.0,1,Kevin Parkhurst,0.0,0.0,0.0,0.0,0.0,0.0
1239,0.0,0.0,0.0,0,0.0,0.0,57.0,0.0,37.30478395061729,0.0,0,Mad Mike Loftin,0.0,0.0,0.0,0.0,0.0,0.0
1240,0.0,0.0,0.0,1,0.0,0.0,57.0,0.0,37.30478395061729,0.0,0,Mad Mike Loftin,0.0,0.0,0.0,0.0,0.0,0.0
1241,0.0,0.0,0.0,2,0.0,0.0,57.0,0.0,33.77324263038549,0.0,1,Mad Mike Loftin,0.0,0.0,0.0,0.0,0.0,0.0
1242,0.0,0.0,0.0,0,0.0,0.0,60.25,0.0,16.6875,0.0,4,John Opsal,0.0,0.0,0.0,0.0,0.0,0.0
1243,0.0,0.0,0.0,1,0.0,0.0,60.25,0.0,22.249999999999996,0.0,0,John Opsal,0.0,0.0,0.0,0.0,0.0,0.0
1244,0.0,0.0,0.0,2,0.0,0.0,60.25,0.0,22.249999999999996,0.0,0,John Opsal,0.0,0.0,0.0,0.0,0.0,0.0
1245,0.0,0.0,0.0,0,0.0,0.0,68.0,0.0,7.000000000000001,0.0,3,Nick Cheney,0.0,0.0,0.0,0.0,0.0,0.0
1246,0.0,0.0,0.0,1,0.0,0.0,68.0,0.0,7.000000000000001,0.0,0,Nick Cheney,0.0,0.0,0.0,0.0,0.0,0.0
